"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","CP-2240-ND","MD-40SM","CONN RCPT FMALE MINI DIN 4P SLDR","","1","0","1.83000","1.83"
"2","1","CP-1421-ND","RCJ-044","CONN RCA JACK MONO 3.2MM R/A","","0","1","1.66000","1.66"
"3","1","XC584CT-ND","ECS-35-17-18-TR","CRYSTAL 3.579545MHZ 17PF SMD","","1","0","1.78000","1.78"
"4","1","AD724JRZ-ND","AD724JRZ","IC ENCODER RGB TO NTSC 16-SOIC","","1","0","18.90000","18.90"
"5","1","609-10033526-N3222MLFCT-ND","10033526-N3222MLF","MINI USB B TYPE RECEPT","","1","0","0.82000","0.82"
"6","1","1727-3776-ND","74HC04D,652","IC INVERTER 6CH 6-INP 14SO","","1","0","0.45000","0.45"
"7","1","311-1.00KCRCT-ND","RC0805FR-071KL","RES SMD 1K OHM 1% 1/8W 0805","","1","0","0.10000","0.10"
"8","6","RMCF0805FT75R0CT-ND","RMCF0805FT75R0","RES 75 OHM 1% 1/8W 0805","","6","0","0.10000","0.60"
"9","2","311-10.0KCRCT-ND","RC0805FR-0710KL","RES SMD 10K OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"10","1","13-RC2512FK-071MLCT-ND","RC2512FK-071ML","RES SMD 1M OHM 1% 1W 2512","","0","1","0.47000","0.47"
"11","5","399-1171-1-ND","C0805C104J5RACTU","CAP CER 0.1UF 50V X7R 0805","","1","4","0.21000","1.05"
"12","2","399-15694-1-ND","C0805X106J8RAC7800","CAP CER 10UF 10V X7R 0805","","2","0","0.93000","1.86"
"13","1","311-4241-1-ND","CC0805JRNPO9BN620","CAP CER 62PF 50V NPO 0805","","1","0","0.15000","0.15"
"14","1","720-VJ0805A470GXJPW1BCCT-ND","VJ0805A470GXJPW1BC","CAP CER 47PF 16V C0G/NP0 0805","","1","0","0.25000","0.25"
"15","3","399-9744-1-ND","T491D227M010AT","CAP TANT 220UF 20% 10V 2917","","3","0","1.43000","4.29"
"16","1","SG9212-ND","GKH25000","CAP TRIMMER 5-25PF 25V SMD","","1","0","1.05000","1.05"
"17","1","Z13226-ND","XM4L-1542-132","CONN D-SUB HD RCPT 15P R/A SLDR","","0","1","2.64000","2.64"
"18","1","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","1","0","0.10000","0.10"